name,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,distance,monthly_rent,rent_efficiency_per_bedroom,log_rent,distance_norm,distance_bucket,drive_time,transit_time,commute_gap,commute_score,rent_per_min_drive,neigh_score,drive_time_norm,transit_time_norm,rent_norm,score
Work from Home ON the Venice Beach Canals!,Venice,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,33.98275,-118.46626,8.868678650170846,2646.0,1323.0,7.881182202227102,0.9659474905806098,medium,27.166666666666668,55.21666666666667,28.05,41.19166666666667,97.39877300613496,0.5,0.8055137844611528,0.326097930338213,0.47139910687665115,-0.4454333641566489
Charming Walk Street Hideaway by Open Air Homes,Venice,City of Los Angeles,Entire home,Entire home/apt,4,1.0,2.0,2.0,33.99278,-118.45945,7.744234565145547,7128.0,3564.0,8.871926251117628,0.4166426844486068,medium,22.633333333333333,52.4,29.766666666666666,37.516666666666666,314.9337260677467,0.5,0.669172932330827,0.3090358404846037,0.8662171590031651,-0.5590459113974349
Beachy Garden Guesthouse,Santa Monica,Other Cities,Entire guesthouse,Entire home/apt,4,2.0,2.0,2.0,34.01989,-118.48552,6.3464025242650575,5040.0,2520.0,8.525359754082631,-0.26621551049995174,medium,17.5,33.93333333333333,16.43333333333333,25.716666666666665,288.0,0.8,0.5147869674185463,0.1971731448763251,0.7281081191912225,-0.40511396687731793
Venice Flower Cottage: Ideal WFH + dry sauna,Venice,City of Los Angeles,Entire cottage,Entire home/apt,4,1.0,2.0,2.0,33.99934,-118.46961,7.371866588592425,3960.0,1980.0,8.284251797621916,0.23473633455155823,medium,20.316666666666666,50.083333333333336,29.76666666666667,35.2,194.91386382280558,0.5,0.5994987468671679,0.295002523977789,0.6320250048605078,-0.4416601307999113
"Location location Santa Monica, west Los Angeles",Westwood,City of Los Angeles,Private room in rental unit,Private room,1,1.0,1.0,1.0,34.06009,-118.43191,1.5944911413986802,1314.0,1314.0,7.181591944611865,-2.5875828383054467,very_close,6.85,25.7,18.85,16.275,191.82481751824818,1.0,0.1944862155388471,0.14729934376577486,0.19260776504861263,-0.06484883943425415
Centrally located room for rent in heart of city.,Culver City,Other Cities,Private room in townhouse,Private room,1,1.0,1.0,1.0,34.02205,-118.3953,6.844656675100152,1602.0,1602.0,7.3796321526095525,-0.022812211595338243,medium,18.15,48.15,30.0,33.15,88.26446280991736,0.7,0.5343358395989974,0.28329126703685004,0.2715280969465802,-0.25557024406570134
Beachside Apt 2Beds + 2Baths & Free Parking!,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,34.01786,-118.49355,7.030507876391269,4824.0,2412.0,8.481566013773087,0.06797839280569763,medium,17.683333333333334,29.933333333333334,12.25,23.808333333333334,272.799245994345,0.8,0.5203007518796993,0.17294295810196872,0.7106560242089601,-0.3949412268678876
Hollywood Home,Hollywood,City of Los Angeles,Entire home,Entire home/apt,1,1.0,1.0,1.0,34.10293,-118.35257,9.868311811044506,3384.0,3384.0,8.127109185346375,1.4542806206574805,medium,27.1,37.71666666666667,10.616666666666667,32.40833333333333,124.87084870848707,0.5,0.8035087719298246,0.22009086320040386,0.569402635183719,-0.4628318582925158
ZEN STUDIO - 6 blocks from BEACH!,Santa Monica,Other Cities,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,34.00351,-118.478,7.315526023465259,3420.0,3420.0,8.137688184977605,0.20721327349703805,medium,18.983333333333334,43.11666666666667,24.133333333333333,31.05,180.15803336259876,0.8,0.5593984962406016,0.25280161534578494,0.5736184364620882,-0.3678272465261727
House in Culver City,Culver City,Other Cities,Entire home,Entire home/apt,4,1.0,1.0,1.0,34.01260616556772,-118.4107837,6.59808873900571,2520.0,2520.0,7.83241092718792,-0.14326368992000618,medium,15.65,26.316666666666666,10.666666666666666,20.983333333333334,161.0223642172524,0.7,0.45914786967418547,0.15103483089348815,0.4519634314040004,-0.27873669964255343
Lovely Single Apartment #5,Del Rey,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,33.99971,-118.41306,7.6290469260581615,1440.0,1440.0,7.273092595999522,0.3603721018555419,medium,15.15,29.95,14.799999999999999,22.55,95.04950495049505,0.5,0.44411027568922307,0.17304391721352852,0.2290713794297812,-0.2094704179213851
Cozy and elegant apartment,Century City,City of Los Angeles,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,34.05268,-118.415,3.4280145857325555,1980.0,990.0,7.591357046698551,-1.6918840182919632,close,15.466666666666667,29.916666666666668,14.450000000000001,22.691666666666666,128.01724137931035,0.5,0.45363408521303256,0.1728419989904089,0.3559018667052998,-0.26301937204411147
Wilshire walking distance UCLA,Westwood,City of Los Angeles,Private room in home,Private room,2,1.0,1.0,1.0,34.057292504542204,-118.442885,1.1836096307597415,1098.0,1098.0,7.002155954403621,-2.788303524687704,very_close,6.466666666666667,12.416666666666666,5.949999999999999,9.441666666666666,169.79381443298968,1.0,0.1829573934837093,0.06683493185259969,0.12110133691034056,-0.016694739179768936
Central LA location 2bed/1Bath Cloverdale #8,Mid-City,City of Los Angeles,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,34.04743,-118.35114,9.64792438817792,990.0,495.0,6.898714534329988,1.34661864599474,medium,19.833333333333332,38.21666666666667,18.383333333333336,29.025,49.91596638655462,0.5,0.5849624060150376,0.2231196365471984,0.07987924728143285,-0.20206434802652412
Small place in big city,Mid-Wilshire,City of Los Angeles,Entire townhouse,Entire home/apt,2,1.0,1.0,1.0,34.06944667,-118.3547795,9.042215253099043,1710.0,1710.0,7.444833273892193,1.0507222617744436,medium,27.8,45.03333333333333,17.23333333333333,36.416666666666664,61.510791366906474,0.5,0.8245614035087719,0.26441191317516405,0.2975111747456388,-0.3692552735859199
Chic one bedroom unit with private backyard.,Mid-City,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.03121289,-118.3869522,6.937668531280919,2070.0,2070.0,7.635786861395585,0.02262522749813556,medium,15.3,41.56666666666667,26.26666666666667,28.433333333333337,135.2941176470588,0.5,0.4486215538847118,0.2434124179707219,0.3736074415353162,-0.2827119263736844
@Ktown@Cozy with LA VIBE 3 B- 3B,Beverly Hills,Other Cities,Entire home,Entire home/apt,8,3.0,3.0,4.0,34.08022,-118.39063,5.573174409615903,3222.0,1074.0,8.078067881815437,-0.643946982673254,medium,16.483333333333334,45.13333333333333,28.65,30.808333333333334,195.47017189079878,0.5,0.4842105263157895,0.26501766784452296,0.5498593515722627,-0.36821043209254656
Studio 2 blocks 2 beach w/ kitchenette and parking,Venice,City of Los Angeles,Room in hotel,Private room,3,1.0,0.0,1.0,33.98034,-118.46507,9.076172376062548,2952.0,2952.0,7.990576881743923,1.0673107352207236,medium,25.483333333333334,57.35,31.866666666666667,41.41666666666667,115.84041857423152,0.5,0.7548872180451128,0.33902069661786977,0.5149936097436658,-0.45026774863457414
Santa Monica beach ViewStudio10*,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,34.008813291640195,-118.4955988,7.842481471419529,3744.0,3744.0,8.22817689595132,0.4646375100896562,medium,18.333333333333332,46.6,28.26666666666667,32.46666666666667,204.21818181818182,0.8,0.5398496240601504,0.273902069661787,0.6096787858995529,-0.3806068155102237
Casita on Wooster,Pico-Robertson,City of Los Angeles,Entire home,Entire home/apt,6,2.5,3.0,3.0,34.048027909312694,-118.3852088,6.35184087261242,9630.0,3210.0,9.172742341560864,-0.2635588102474363,medium,18.416666666666668,53.13333333333333,34.71666666666667,35.775,522.89592760181,0.5,0.5423558897243108,0.3134780413932357,0.9860943593861624,-0.5698401189504054
Spanish Upper 1BD/1BA at Sunny 1920’s Property!,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.02552,-118.49273,6.435002175601358,2250.0,2250.0,7.719129840906732,-0.22293348789981973,medium,19.933333333333334,30.35,10.416666666666668,25.141666666666666,112.876254180602,0.8,0.58796992481203,0.17546693589096418,0.40682016975292196,-0.2942124325229706
The Prada Two-Bedroom Suite,Mid-Wilshire,City of Los Angeles,Entire condo,Entire home/apt,4,2.0,2.0,2.0,34.0606,-118.36118,8.442896659322075,4212.0,2106.0,8.345930261979017,0.7579477358107494,medium,23.683333333333334,47.166666666666664,23.48333333333333,35.425,177.8465869106263,0.5,0.7007518796992481,0.27733467945482076,0.6566042805905971,-0.4783342120369774
Modern Luxury in Brentwood's Prime Location,Brentwood,City of Los Angeles,Entire home,Entire home/apt,5,2.5,2.0,3.0,34.04746,-118.47447,3.628231662945107,5634.0,2817.0,8.636752426473876,-1.5940755062928251,close,15.683333333333334,40.483333333333334,24.8,28.083333333333336,359.23485653560044,0.9,0.46015037593984964,0.2368500757193337,0.7724988354250759,-0.40441466209585203
Chaplin Stylish Bungalow in Weho,Beverly Hills,Other Cities,Entire home,Entire home/apt,4,1.0,2.0,2.0,34.0633,-118.37608,6.93464808047225,4302.0,2151.0,8.3670677328386,0.021149700019283846,medium,20.35,38.5,18.15,29.425,211.40049140049138,0.5,0.6005012531328321,0.2248359414437153,0.6650277024430993,-0.44112864520583245
Elevation / Mar Vista - A Joyful Family Retreat,Mar Vista,City of Los Angeles,Entire home,Entire home/apt,5,2.0,3.0,4.0,33.99504,-118.44417,7.386718148135508,6750.0,2250.0,8.81744592104187,0.2419915045899934,medium,21.183333333333334,49.833333333333336,28.650000000000002,35.50833333333333,318.6467348544453,0.5,0.6255639097744361,0.2934881373043917,0.8445063873625904,-0.5341693553382454
"Bright, Luxurious Condo accessing Beverly Hills",Beverly Hills,Other Cities,Entire condo,Entire home/apt,4,2.0,2.0,3.0,34.07515847,-118.3910965,5.446427415279221,3150.0,1575.0,8.055475141757274,-0.7058644528962031,medium,16.283333333333335,49.9,33.61666666666666,33.09166666666667,193.44933469805525,0.5,0.47819548872180456,0.293891973750631,0.5408559953250526,-0.3685794394966886
Private Master Bedroom Venice Beach,Marina del Rey,Unincorporated Areas,Private room in rental unit,Private room,3,1.0,1.0,1.0,33.976506,-118.4561888,9.304517699182437,2016.0,2016.0,7.6093665379542115,1.178860242322002,medium,24.616666666666667,72.9,48.28333333333334,48.75833333333334,81.89573459715639,0.5,0.7288220551378446,0.4332155477031802,0.36307876801024513,-0.40052123328608746
Private Studio,Santa Monica,Other Cities,Private room in guesthouse,Private room,2,1.0,1.0,1.0,34.04109,-118.48228,4.635000000000389,1584.0,1584.0,7.368339686311381,-1.1022567546351576,close,17.383333333333333,40.95,23.56666666666667,29.166666666666668,91.12176414189837,0.8,0.5112781954887218,0.23967693084300862,0.26702797448554577,-0.22813003460943654
Queen Bed Hotel Style Suite,Beverly Hills,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.06017,-118.38482,6.10078462166908,2700.0,2700.0,7.901377353792616,-0.3862028857414669,medium,18.116666666666667,36.45,18.333333333333336,27.283333333333335,149.03403863845446,0.5,0.5333333333333333,0.21241797072185767,0.4794470082619029,-0.34426239744913273
West Hollywood Gated 2Bed/2bath,West Hollywood,Other Cities,Entire home,Entire home/apt,6,2.0,2.0,3.0,34.08051371030688,-118.3857116,6.061145107694543,6750.0,3375.0,8.81744592104187,-0.4055672772918568,medium,18.383333333333333,42.333333333333336,23.950000000000003,30.358333333333334,367.1804170444243,0.5,0.5413533834586466,0.24805653710247352,0.8445063873625904,-0.4998198774031249
Luxury Townhouse Oasis in West Hollywood,West Hollywood,Other Cities,Entire rental unit,Entire home/apt,7,2.5,2.0,4.0,34.09135,-118.35009,9.772366448307688,5742.0,2871.0,8.655737000864297,1.4074101274250606,medium,27.366666666666667,56.05,28.68333333333333,41.70833333333333,209.81729598051157,0.5,0.8115288220551379,0.3311458859162039,0.7800643138043513,-0.5717135493215226
Luxurious modern 5* townhouse in West Hollywood,West Hollywood,Other Cities,Entire condo,Entire home/apt,4,2.5,2.0,2.0,34.08621,-118.37125,7.594892099299065,6120.0,3060.0,8.71948076085107,0.34368704766633723,medium,23.266666666666666,48.35,25.083333333333336,35.80833333333334,263.0372492836676,0.5,0.6882205513784461,0.28450277637556787,0.805466623494105,-0.5355533700862894
Stunning entire home w garden. Walk to The Grove!,Beverly Grove,City of Los Angeles,Entire townhouse,Entire home/apt,2,1.0,1.0,1.0,34.06649261570413,-118.3731133,7.212688691492226,2700.0,2700.0,7.901377353792616,0.15697596827673585,medium,24.2,44.53333333333333,20.333333333333332,34.36666666666667,111.5702479338843,0.5,0.7162907268170425,0.26138313982836947,0.4794470082619029,-0.40894264931554786
Lovely 1 Bedroom Condo with Rooftop Pool,Hollywood,City of Los Angeles,Entire condo,Entire home/apt,4,1.0,1.0,2.0,34.09475,-118.35557,9.328322142807814,1980.0,1980.0,7.591357046698551,1.1904890066730756,medium,25.45,37.18333333333333,11.73333333333333,31.316666666666663,77.79960707269156,0.5,0.7538847117794486,0.21686017163048965,0.3559018667052998,-0.36189819454205246
Beach Bungalow w private patio!,Venice,City of Los Angeles,Entire home,Entire home/apt,2,1.0,1.0,1.0,33.99916085373352,-118.4736409,7.531555825184882,2790.0,2790.0,7.934155233536322,0.3127464964759847,medium,20.716666666666665,45.56666666666667,24.850000000000005,33.141666666666666,134.67417538214,0.5,0.6115288220551378,0.2676426047450782,0.4925092099957811,-0.3839908515638695
The Exquisite Venice Beach Bungalow with Garden,Venice,City of Los Angeles,Entire bungalow,Entire home/apt,6,1.0,3.0,4.0,33.993687524813225,-118.4587751,7.642774210802654,6372.0,2124.0,8.759825595314295,0.36707804978635655,medium,23.05,53.55,30.499999999999996,38.3,276.44251626898046,0.5,0.681704260651629,0.31600201918223114,0.8215443066999489,-0.5463294047119145
Cozy One Bedroom Near Santa Monica Downtown,Santa Monica,Other Cities,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,34.01697156233007,-118.4915928,6.963371690984414,1890.0,1890.0,7.544861068658458,0.03518153807501099,medium,17.016666666666666,33.6,16.583333333333336,25.308333333333334,111.06758080313419,0.8,0.500250626566416,0.19515396264512874,0.33737291212609816,-0.24405514534938977
Perfect 2 BD Apartment in WeHo,West Hollywood,Other Cities,Entire rental unit,Entire home/apt,5,2.0,2.0,2.0,34.09041,-118.37524,7.31920876871211,2106.0,1053.0,7.653020413804189,0.20901233997868457,medium,20.416666666666668,34.9,14.48333333333333,27.65833333333333,103.15102040816326,0.5,0.6025062656641604,0.20302877334679456,0.3804751260808907,-0.32354768480096335
The Redline,Venice,City of Los Angeles,Room in hotel,Private room,2,1.0,1.0,1.0,33.98594274525255,-118.4734566,8.763755792349185,5040.0,5040.0,8.525359754082631,0.914691380257217,medium,24.866666666666667,45.61666666666667,20.75,35.24166666666667,202.68096514745307,0.5,0.7363408521303259,0.26794548207975766,0.7281081191912225,-0.5157345997315382
